ICS209,citation_link,date,time,unique_fact
31,https://twitter.com/NHC_Atlantic/status/1168223498180808706?t=mP3owMCeScw_nuYpDYOQNg&s=19&fbclid=IwAR14v4Ugf3ptMRzeGo2lYhOg8XlPt_pDfc8_KX9ux2CF7wbJO9xw8xj6rI0,9/1/2019,2:06:00 PM,The eye of #Dorian has made a second landfall at 2 pm EDT (1800 UTC) on Great Abaco Island near Marsh Harbour.  Maximum sustained winds were 185 mph at the time. This is tied for the strongest Atlantic hurricane landfall on record with the 1935 Labor Day hurricane.
32,https://www.foxnews.com/us/hurricane-dorian-bahamas-warning-florida-carolinas,9/1/2019,2:08:00 PM,"The storm made the first landfall at 12:40 p.m. in Elbow Cay and is located about 185 miles east of West Palm Beach, Florida."
35,https://www.foxnews.com/us/hurricane-dorian-bahamas-warning-florida-carolinas,9/1/2019,2:08:00 PM,"Wind gusts of over 220 mph and a storm surge of 18 to 23 feet above normal tide levels with higher ""destructive waves"" are forecast to continue for several hours over the affected areas. T"
38,https://www.foxnews.com/us/hurricane-dorian-bahamas-warning-florida-carolinas,9/1/2019,2:08:00 PM,"Government spokesman Kevin Harris said Sunday that Dorian is expected to impact some 73,000 residents and 21,000 homes"
34,https://www.foxnews.com/us/hurricane-dorian-bahamas-warning-florida-carolinas,9/1/2019,2:08:00 PM,"Officials in the Bahamas said Sunday that dozens of people were ignoring evacuation orders, and they were warned that they were placing their lives in danger."
35,https://www.foxnews.com/us/hurricane-dorian-bahamas-warning-florida-carolinas,9/1/2019,2:08:00 PM,"Between 12 to 24 inches of rain is forecast for the northwestern Bahamas, with isolated amounts up to 30 inches, according to the NHC. Dorian is also forecast to bring a life-threatening storm surge with water levels raised as much as 15 to 20 feet above normal in areas of onshore winds on the Abaco Islands and Grand Bahama Island."
30,https://fb.watch/i-bbMnWe3V/,9/1/2019,4:13:00 PM,Marsh Harbour is destroyed from Hurricane Dorian. They have another round to go because this was filmed during the eye of the storm
34,https://fb.watch/i-asvP-AGg/,9/1/2019,6:16:00 PM,READY TO HELP: Hundreds of utility trucks from 34 states are now in Florida to help restore power in preparation for Hurricane Dorian
30,https://twitter.com/AndreaCudaCine/status/11683052156673556499,9/1/2019,7:30:00 PM,"""I've  been working on a show out in the Bahamas, and they are being just ravaged by Hurricane Dorian. I don't think there is a lot of coverage in the local media of the damage that is happening here, because we will mainly here about Florida."""
31,https://twitter.com/NOAASatellitePA/status/1168305570824314882,9/1/2019,7:32:00 PM,"UPDATE: NOAA's #GOES16 watches the sun set on Cat. 5 #HurricaneDorian, as it slammed into Great Abaco today. With wind gusts more than 220 mph & storm surge 18 to 23 feet above normal, @NHC_Atlantic says #Dorian's western eyewall is approaching eastern #GrandBahamaIsland."
