row_id,ICS209,sentence_summary,citation_link,platform,date,time,UNIQUE FACTS 
246,34,"The U.S. Coast Guard Marine Safety Unit of Huntington has deployed to Greensboro, North Carolina, ahead of Hurricane Florence, a Category 4 storm expected to make landfall by at least Thursday",https://twitter.com/USCGAux/status/1040384909544747008?s=20,Twitter,9/13/2018,7:41:00 PM,"The U.S. Coast Guard Marine Safety Unit of Huntington has deployed to Greensboro, North Carolina, ahead of Hurricane Florence, a Category 4 storm expected to make landfall by at least Thursday"
239,34,"Wilmington, NC Police Department - Thousands are already without power, and we haven't even experienced the worst of Hurricane #Florence. If you come across a downed power line, DO NOT APPROACH IT. Downed power lines can be DEADLY. Do NOT approach them",https://twitter.com/Jammin999/status/1040385278295396352?s=20,Twitter,9/13/2018,7:42:00 PM,"Wilmington, NC Police Department - Thousands are already without power, and we haven't even experienced the worst of Hurricane #Florence. If you come across a downed power line, DO NOT APPROACH IT. Downed power lines can be DEADLY. Do NOT approach them"
225,38,Video of Hurricane Florence from Sept 10 through Sept 13,https://twitter.com/AstroHardin/status/1040387417612734464?s=20,Twitter,9/13/2018,7:51:00 PM,
233,35,"""A cube of water, four feet by four feet ... weighs as much as a car. That's how much destructive potential is being pushed inland by the storm surge tonight."" Tom Foreman",https://twitter.com/OutFrontCNN/status/1040388372123066368,Twitter,9/13/2018,7:54:00 PM,"""A cube of water, four feet by four feet ... weighs as much as a car. That's how much destructive potential is being pushed inland by the storm surge tonight."" Tom Foreman"
236,34,"Mississippi Power crews have safely arrived at their first stop in Conyers, Georgia! They are ready to safely and efficiently assist with power restoration as soon as Hurricane #Florence moves through",https://twitter.com/MS_Power/status/1040388312761020416?s=20,Twitter,9/13/2018,7:54:00 PM,"Mississippi Power crews have safely arrived at their first stop in Conyers, Georgia! They are ready to safely and efficiently assist with power restoration as soon as Hurricane #Florence moves through"
235,36,"As a Category 2 storm, Hurricane Florence is packing maximum sustained winds of 100 mph, jeffglor says. But the potential flooding looms as the bigger threat -- with as much as 40 inches of rain possible in spots, and a storm surge of up to 13 feet",https://twitter.com/CBSEveningNews/status/1040388448488701952?s=20,Twitter,9/13/2018,7:55:00 PM,maximum sustained winds of 100 mph (Hurricane-Force)
234,28,Hurricane #Florence Advisory 58A: Sustained Hurricane-Force Winds Occurring Along the North Carolina Coast,https://twitter.com/NHC_Atlantic/status/1040388687207583746?s=20,Twitter,9/13/2018,7:56:00 PM,
258,35,Hurricane Florence's Rains May Be 50% Worse Thanks to Climate Change - National Geographic,https://twitter.com/Gol_Gotha/status/1040389319205109760?s=20,Twitter,9/13/2018,7:58:00 PM,Hurricane Florence's Rains May Be 50% Worse Thanks to Climate Change - National Geographic
259,38,Currently there are virtually no flights over the east coast of #SouthCarolina as #Florence is hitting the state,https://twitter.com/VariFlight/status/1040389227618422784?s=20,Twitter,9/13/2018,7:58:00 PM,Currently there are virtually no flights over the east coast of #SouthCarolina as #Florence is hitting the state
254,36,"8 pm Florence Advisory, down from 105 to 100 mph winds. NHC says, Hurricane force winds impacting the North Carolina Coast. Life threatening storm surge & rain expected",https://twitter.com/7Weather/status/1040389534666645504?s=20,Twitter,9/13/2018,7:59:00 PM,down from 105 to 100 mph winds
255,29,Hurricane Florence: Mapping the thousands of animal waste lagoons nuclear sites threatened - CNN Politics,https://twitter.com/FloreyBarb/status/1040389499199606785?s=20,Twitter,9/13/2018,7:59:00 PM,
256,34,Shelter animals evacuated ahead of Hurricane Florence - WPVI-TV,https://twitter.com/abetterwolf/status/1040389440131129345?s=20,Twitter,9/13/2018,7:59:00 PM,
